repo_name,repo_path,series,audit_compliant,violations_count,invalid_top_level_dirs,missing_required_files,has_python,python_import_risk_hits,import_risk_examples,has_gitmodules,referenced_as_submodule,noncompliant_file_count,noncompliant_size_mb,recommended_route,notes
C011_agents,/Users/jeremybradford/SyncedProjects/C011_agents,C,false,12,00_docs;01_templates;10_houston;11_orpheus;12_scribe;13_archivist;90_experimental;agora;docs;scripts;tools,00_run/,true,0,,false,0,65,0.0,manual_migration,"Invalid dirs: 00_docs, 01_templates, 10_houston, 11_orpheus, 12_scribe"
C015_local-tts,/Users/jeremybradford/SyncedProjects/C015_local-tts,C,false,6,api;config;docs;logs;models;scripts,,true,0,,false,0,11,0.0,manual_migration,"Invalid dirs: api, config, docs, logs, models"
C016_prompt-engine,/Users/jeremybradford/SyncedProjects/C016_prompt-engine,C,false,8,docs;forensics;lib;prompts;scripts;templates;training;whisper,,false,0,,false,0,36,0.0,manual_migration,"Invalid dirs: docs, forensics, lib, prompts, scripts"
C017_brain-on-tap,/Users/jeremybradford/SyncedProjects/C017_brain-on-tap,C,false,10,_disabled_apps;brain_on_tap;brain_on_tap.egg-info;build;dist;docs;legacy;out;site;tests,,true,3,"brain_on_tap/memory_lab/adapter.py:204:        sys.path.insert(0, cli_path) | brain_on_tap/gui_app.py:36:    sys.path.insert(0, str(Path(__file__).parent.parent)) | brain_on_tap/gui_app.py:155:        sys.path.insert(0, str(c003_src))",false,0,1071,0.0,needs_exception,Python repo with 3 sibling-dir import patterns
C018_terminal-insights,/Users/jeremybradford/SyncedProjects/C018_terminal-insights,C,false,7,__pycache__;data;docs;logs;p181;reports;scripts,,true,10,"p181/rehydrator_adapter.py:20:        sys.path.insert(0, sp) | test_turbo.py:11:sys.path.insert(0, str(Path(__file__).parent / ""40_src"")) | scripts/command_center_health.py:23:sys.path.insert(0, os.path.dirname(os.path.dirname(os.path.ab... | scripts/ready_probe.py:9:sys.path.insert(0, os.path.dirname(os.path.dirname(os.path.abspath(__fil... | 40_src/terminal_monitor/applescript_orchestrator.py:14:sys.path.insert(0, str(Path(__file__).pare...",false,0,123,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
C019_docs-site,/Users/jeremybradford/SyncedProjects/C019_docs-site,C,false,9,_audits;data;docs;evals;lora_adapters;rag;scripts;site;ui,,true,10,"test_rag.py:5:sys.path.insert(0, str(Path(__file__).parent)) | debug_embeddings.py:5:sys.path.insert(0, str(Path(__file__).parent)) | test_search_raw.py:5:sys.path.insert(0, str(Path(__file__).parent)) | scripts/rag_export.py:8:sys.path.insert(0, str(Path(__file__).parent.parent)) | scripts/rag_eval_full.py:9:sys.path.insert(0, str(Path(__file__).parent.parent))",false,0,674,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
C020_pavlok,/Users/jeremybradford/SyncedProjects/C020_pavlok,C,false,2,docs;scripts,,true,1,"40_src/tests/conftest.py:10:sys.path.insert(0, str(Path(__file__).parent.parent))",false,0,4,0.0,needs_exception,Python repo with 1 sibling-dir import patterns
P001_bettymirror,/Users/jeremybradford/SyncedProjects/P001_bettymirror,P,false,1,P001_bettymirror,,true,0,,false,0,3,0.0,manual_migration,Invalid dirs: P001_bettymirror
P004_adaptive,/Users/jeremybradford/SyncedProjects/P004_adaptive,P,false,2,data;pipeline,,false,0,,false,0,1,0.0,manual_migration,"Invalid dirs: data, pipeline"
P006_earn,/Users/jeremybradford/SyncedProjects/P006_earn,P,false,3,data;pipeline;receipts,,true,0,,false,0,1,0.0,manual_migration,"Invalid dirs: data, pipeline, receipts"
P007_n8n_and_the_sad_bees,/Users/jeremybradford/SyncedProjects/P007_n8n_and_the_sad_bees,P,true,0,,,true,0,,false,0,0,0.0,compliant,No violations detected
P010_betty-ai,/Users/jeremybradford/SyncedProjects/P010_betty-ai,P,false,2,receipts,README.md,false,0,,false,0,1,0.0,manual_migration,Invalid dirs: receipts
P013_betty-source-tracker,/Users/jeremybradford/SyncedProjects/P013_betty-source-tracker,P,false,4,docs;forensics;scripts;training,,true,0,,false,0,7,0.0,manual_migration,"Invalid dirs: docs, forensics, scripts, training"
P030_ai-services,/Users/jeremybradford/SyncedProjects/P030_ai-services,P,false,3,__pycache__;betty-venv;cognitive-venv,,true,4,"memory-api-server.py:8:sys.path.append(os.path.expanduser('~/SyncedProjects/Workspace')) | memory-api-server.py:9:sys.path.append(os.path.expanduser('~/SyncedProjects/Workspace/memory-syst... | betty-cognitive-layer.py:34:sys.path.append(os.path.expanduser('~')) | test_betty_mirror.py:9:sys.path.insert(0, ""."")",false,0,30690,0.0,needs_exception,Python repo with 4 sibling-dir import patterns
P031_sillytavern,/Users/jeremybradford/SyncedProjects/P031_sillytavern,P,false,12,backups;colab;config;data;default;docker;plugins;public;receipts;src;test;tests,,true,0,,false,0,1156,0.0,manual_migration,"Invalid dirs: backups, colab, config, data, default"
P032_enhanced-whisper,/Users/jeremybradford/SyncedProjects/P032_enhanced-whisper,P,true,0,,,true,0,,false,0,0,0.0,compliant,No violations detected
P034_whisper-speech,/Users/jeremybradford/SyncedProjects/P034_whisper-speech,P,false,1,whisper-speech,,true,0,,true,0,183,0.0,manual_migration,Invalid dirs: whisper-speech
P050_ableton-mcp,/Users/jeremybradford/SyncedProjects/P050_ableton-mcp,P,false,8,ableton_remote_scripts;config;docs;examples;receipts;scripts;src;tests,,true,5,"examples/orpheus_mcp_demo.py:24:sys.path.insert(0, str(Path(__file__).parent.parent / ""src"")) | examples/device_control_demo.py:22:sys.path.insert(0, str(Path(__file__).parent.parent / ""src"")) | examples/sample_management_demo.py:22:sys.path.insert(0, str(Path(__file__).parent.parent / ""src"")) | examples/automation_demo.py:22:sys.path.insert(0, str(Path(__file__).parent.parent / ""src"")) | examples/audio_sample_demo.py:22:sys.path.insert(0, str(Path(__file__).parent.parent / ""src""))",false,0,63,0.0,needs_exception,Python repo with 5 sibling-dir import patterns
P051_mcp-servers,/Users/jeremybradford/SyncedProjects/P051_mcp-servers,P,false,1,servers,,true,0,,false,0,2081,0.0,manual_migration,Invalid dirs: servers
P052_n8n-mcp-setup,/Users/jeremybradford/SyncedProjects/P052_n8n-mcp-setup,P,false,5,caddy;n8n-data;n8n-mcp-setup;redis-data;workflows,,true,1,dewey-dual-scanner.py:221:    sys.path.append(os.path.dirname(os.path.abspath(__file__))),false,0,28,0.0,needs_exception,Python repo with 1 sibling-dir import patterns
P090_relay,/Users/jeremybradford/SyncedProjects/P090_relay,P,false,11,__pycache__;agents;bookmarklets;broadcasted_messages;council_logs;extracted_wisdom;logs;messages;scraped_messages;scripts;ui_components,,true,10,debug_relay.py:14:sys.path.append('/Users/jeremybradford/SyncedProjects/relay/scripts') | roundtable-server-with-capture.py:18:sys.path.append('scripts') | swarm_web_interface.py:18:sys.path.append(str(Path(__file__).parent)) | simple_relay_hardened.py:17:sys.path.append('/Users/jeremybradford/SyncedProjects/relay/scripts') | swarm_tool_registry.py:18:sys.path.append(str(Path(__file__).parent)),false,0,65,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
P091_voice-notes-pipeline,/Users/jeremybradford/SyncedProjects/P091_voice-notes-pipeline,P,false,7,ai-services;config;docs;logs;scripts;src;staging,,true,0,,false,0,15,0.0,manual_migration,"Invalid dirs: ai-services, config, docs, logs, scripts"
P092_mirrorlab,/Users/jeremybradford/SyncedProjects/P092_mirrorlab,P,false,2,forensics;research,,true,10,"40_src/test_gpt41_force.py:11:sys.path.insert(0, str(Path(__file__).parent)) | 40_src/test_few_conversations.py:8:sys.path.insert(0, str(Path(__file__).parent)) | 40_src/compare_grok_claude.py:7:sys.path.insert(0, str(Path(__file__).parent)) | 40_src/debug_grok.py:7:sys.path.insert(0, ""/Users/jeremybradford/SyncedProjects/Workspace/resonan... | 40_src/run_stage2_segment_all.py:15:sys.path.append(str(Path(__file__).parent.parent))",false,0,2,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
P110_knowledge-synthesis-tool,/Users/jeremybradford/SyncedProjects/P110_knowledge-synthesis-tool,P,false,26,Active-Projects;Betty-Source-Tracker;Codify;For Claude;WOW-Lead-Attribution-Infrastructure;__pycache__;_seeds;agents;betty-memory-cathedral;config;context-templates;data;dewey-notes;docs;examples;frontend-templates;frontmatter_cleanups;kst_modules;memory-system;n8n-workflows;pc-setup-package;scripts;sources;templates;tests;utils,,true,10,"kst_modules/dynamic_context.py:159:        relevant = [""PATH"", ""PYTHONPATH"", ""VIRTUAL_ENV"", ""COND... | examples/claude_desktop_integration.py:14:sys.path.insert(0, str(Path(__file__).parent.parent)) | tests/qa/qa_test_suite.py:21:sys.path.insert(0, os.path.dirname(os.path.abspath(__file__))) | tests/qa/kst_qa_suite.py:16:sys.path.insert(0, os.path.dirname(os.path.abspath(__file__))) | tests/regression_test_suite.py:17:sys.path.insert(0, os.path.dirname(os.path.abspath(__file__)))",false,0,387,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
P151_clouddriveinventory,/Users/jeremybradford/SyncedProjects/P151_clouddriveinventory,P,false,11,__pycache__;api;asyncq;data;dataset;docs;migrations;repositories;scripts;tests;tools,,true,10,"verify_phase8.py:108:        env[""PYTHONPATH""] = ""."" | verify_phase8.py:255:        env[""PYTHONPATH""] = ""."" | test_api_health.py:5:sys.path.insert(0, os.path.dirname(__file__)) | tools/test_foreign_keys.py:8:sys.path.insert(0, str(Path(__file__).parent.parent)) | tools/migrate.py:18:sys.path.insert(0, str(Path(__file__).parent.parent))",false,0,92,0.0,needs_exception,Python repo with 10 sibling-dir import patterns
P152_cognitiveplayback,/Users/jeremybradford/SyncedProjects/P152_cognitiveplayback,P,false,8,outputs;phase1-voice-reader;phase2-summarization;phase3-comprehension;phase4-review;phase5-shadow-agent;phase6-integration;shared,,true,0,,false,0,1,0.0,manual_migration,"Invalid dirs: outputs, phase1-voice-reader, phase2-summarization, phase3-comprehension, phase4-review"
P154_agents,/Users/jeremybradford/SyncedProjects/P154_agents,P,false,8,bonus;design;engineering;marketing;product;project-management;studio-operations;testing,,true,0,,false,0,37,0.0,manual_migration,"Invalid dirs: bonus, design, engineering, marketing, product"
P158_local-tts,/Users/jeremybradford/SyncedProjects/P158_local-tts,P,false,6,F5-TTS;bark-venv;kokoro-venv;piper;tts-venv;voice-library,,true,0,,false,0,34510,0.0,manual_migration,"Invalid dirs: F5-TTS, bark-venv, kokoro-venv, piper, tts-venv"
P159_memory-system,/Users/jeremybradford/SyncedProjects/P159_memory-system,P,false,4,__pycache__;configs;receipts;scripts,,true,1,test_rotate_claude_memory.py:16:sys.path.append('scripts'),false,0,12,0.0,needs_exception,Python repo with 1 sibling-dir import patterns
P160_open-webui-ollama-setup,/Users/jeremybradford/SyncedProjects/P160_open-webui-ollama-setup,P,false,17,SADB_DATA;agent_configs;agora;atlas;backups;custom;data;fsapi;houston;logs;openapi-servers;openapi-specs;resolver;sadb-mem-writer;sadb-rag-api;streamdeck-voices;tools,,true,2,"custom/betty_voice_integration.py:15:    sys.path.insert(0, betty_path) | betty_voice_server.py:25:    sys.path.insert(0, betty_path)",false,0,131,0.0,needs_exception,Python repo with 2 sibling-dir import patterns
P167_dj-claude-mcp,/Users/jeremybradford/SyncedProjects/P167_dj-claude-mcp,P,true,0,,,true,10,"dj_claude_cli.py:12:sys.path.insert(0, os.path.join(os.path.dirname(__file__), ""40_src"")) | 40_src/playlist_manager.py:16:sys.path.append(str(Path(__file__).parent / ""tools"")) | 40_src/dj_claude_mcp_fixed.py:22:sys.path.append(str(Path(__file__).parent / ""tools"")) | 40_src/spotify_search.py:33:        sys.path.insert(0, str(Path(__file__).parent)) | 40_src/play_mountain.py:9:sys.path.append(str(Path(__file__).parents[1] / ""tools""))",false,0,0,0.0,compliant,No violations detected
P169_workflow-harvest,/Users/jeremybradford/SyncedProjects/P169_workflow-harvest,P,false,4,docs;examples;open-webui-betty;src,,true,1,"cli.py:15:sys.path.insert(0, str(Path(__file__).parent / ""src""))",false,0,4813,0.0,needs_exception,Python repo with 1 sibling-dir import patterns
P171_elevenlabs-music-mcp,/Users/jeremybradford/SyncedProjects/P171_elevenlabs-music-mcp,P,false,4,config;examples;src;tests,,true,1,"test_phase2_live.py:18:sys.path.insert(0, str(Path(__file__).parent / ""src""))",false,0,18,0.0,needs_exception,Python repo with 1 sibling-dir import patterns
P172_lyra-live,/Users/jeremybradford/SyncedProjects/P172_lyra-live,P,false,5,config;data;docs;lyra_live;tests,,true,0,,false,0,59,0.0,manual_migration,"Invalid dirs: config, data, docs, lyra_live, tests"
P190_conversation-exports-web,/Users/jeremybradford/SyncedProjects/P190_conversation-exports-web,P,false,30,QA_REPORTS;Super Events Pack;TAGGING_PROMPTS;analysis;arcs;chroma_db;config;conversation_tags;conversation_tags_v2;data;docs;entity_registry;facts;facts_v2;logs;m1_emotional;m2_enriched;metadata;metadata_arcs;metadata_full;out_jude;prompts;qa_enriched;qa_tools;scripts;temp_m2;temp_m2_analyses;temp_m2_batch;temp_m2_results;training_data,,true,4,"m1_emotional/scripts/process_batch.py:24:sys.path.insert(0, str(Path(__file__).parent)) | scripts/d021_process_august_2025_m2.py:23:sys.path.insert(0, str(Path(__file__).parent)) | temp_m2_conv2.py:6:sys.path.insert(0, '/home/user/P190_conversation-exports-web') | scripts/d020_batch_prepare.py:18:sys.path.insert(0, str(Path(__file__).parent))",false,0,1745,0.0,needs_exception,Python repo with 4 sibling-dir import patterns
P211_mirror,/Users/jeremybradford/SyncedProjects/P211_mirror,P,true,0,,,true,2,"40_src/test_server.py:11:sys.path.insert(0, str(Path(__file__).parent)) | 40_src/mirror_server.py:10:sys.path.insert(0, str(pathlib.Path(__file__).parent))",false,0,0,0.0,compliant,No violations detected
P212_band-in-a-box-ai,/Users/jeremybradford/SyncedProjects/P212_band-in-a-box-ai,P,false,7,__pycache__;datasets;docs;experiments;models;outputs;scripts,,true,3,scripts/scan_biab_files.py:14:sys.path.append(str(Path(__file__).parent.parent)) | scripts/search_samples.py:13:sys.path.append(str(Path(__file__).parent.parent)) | scripts/extract_sample_metadata.py:15:sys.path.append(str(Path(__file__).parent.parent)),false,0,11,0.0,needs_exception,Python repo with 3 sibling-dir import patterns
P214_playwright-agent-demo,/Users/jeremybradford/SyncedProjects/P214_playwright-agent-demo,P,true,0,,,true,0,,false,0,0,0.0,compliant,No violations detected
P215_repo-dashboard,/Users/jeremybradford/SyncedProjects/P215_repo-dashboard,P,true,0,,,true,0,,false,0,0,0.0,compliant,No violations detected
U01_comfyUI,/Users/jeremybradford/SyncedProjects/U01_comfyUI,U,false,22,__pycache__;alembic_db;api_server;app;comfy;comfy_api;comfy_api_nodes;comfy_config;comfy_execution;comfy_extras;custom_nodes;input;middleware;models;output;script_examples;temp;tests;tests-unit;user;utils;workflows,,true,6,"nodes.py:22:sys.path.insert(0, os.path.join(os.path.dirname(os.path.realpath(__file__)), ""comfy"")) | tests-unit/comfy_quant/test_quant_registry.py:7:sys.path.insert(0, os.path.join(os.path.dirname(_... | tests-unit/comfy_quant/test_mixed_precision.py:7:sys.path.insert(0, os.path.join(os.path.dirname(... | tests/execution/test_progress_isolation.py:11:from tests.execution.test_execution import ComfyClient | tests/execution/test_async_nodes.py:10:from tests.execution.test_execution import ComfyClient, ru...",false,0,33498,0.0,needs_exception,Python repo with 6 sibling-dir import patterns
W001_cmo-weekly-reporting,/Users/jeremybradford/SyncedProjects/W001_cmo-weekly-reporting,W,true,0,,,true,0,,false,0,0,0.0,compliant,No violations detected
W002_analytics,/Users/jeremybradford/SyncedProjects/W002_analytics,W,true,0,,,true,1,50_data/phantom_leads/monday_night/03_Analysis_Scripts/analyze_logs.py:10:sys.path.append(os.path...,false,0,0,0.0,compliant,No violations detected
W003_cmo_html_report,/Users/jeremybradford/SyncedProjects/W003_cmo_html_report,W,false,2,logs;out,,true,0,,false,0,6,0.0,manual_migration,"Invalid dirs: logs, out"
W005_BigQuery,/Users/jeremybradford/SyncedProjects/W005_BigQuery,W,true,0,,,true,0,,false,0,0,0.0,compliant,No violations detected
W006_Abandoned_Cart,/Users/jeremybradford/SyncedProjects/W006_Abandoned_Cart,W,false,3,docs;forensics;training,,true,0,,false,0,3,0.0,manual_migration,"Invalid dirs: docs, forensics, training"
W007_Snowflake_SQL_Library,/Users/jeremybradford/SyncedProjects/W007_Snowflake_SQL_Library,W,true,0,,,false,0,,false,0,0,0.0,compliant,No violations detected
W008_QQ,/Users/jeremybradford/SyncedProjects/W008_QQ,W,false,2,archive;tickets,,false,0,,false,0,17,0.0,manual_migration,"Invalid dirs: archive, tickets"
W009_context_library,/Users/jeremybradford/SyncedProjects/W009_context_library,W,false,1,Claude Code Session Exports,,true,0,,false,0,1,0.0,manual_migration,Invalid dirs: Claude Code Session Exports
W011_peer-review,/Users/jeremybradford/SyncedProjects/W011_peer-review,W,false,15,10_templates;20_incoming;30_in_review;40_reviewed;50_agents;60_archive;70_config;99_quarantine;approvals;config;docs;manifests;scripts,RELATIONS.yaml;rules_now.md,true,0,,false,0,340,0.0,manual_migration,"Invalid dirs: 10_templates, 20_incoming, 30_in_review, 40_reviewed, 50_agents"
W012_hardening_bundle,/Users/jeremybradford/SyncedProjects/W012_hardening_bundle,W,false,4,approvals;config;manifests;scripts,,true,0,,false,0,7,0.0,manual_migration,"Invalid dirs: approvals, config, manifests, scripts"
W166_fiber-vs-home_reconciliation,/Users/jeremybradford/SyncedProjects/W166_fiber-vs-home_reconciliation,W,false,3,docs;src;tests,,true,0,,false,0,27,0.0,manual_migration,"Invalid dirs: docs, src, tests"
